sequence,step,label,MSA,MSB,MSC,INPUT,Cin,RegA_before,RegB_before,Output_before,Cout_before,RegA_plus,RegB_plus,Output_plus,Cout_plus
g,1,Load 4 into A,00,10,000,4,0,0,0,0,0,4,0,4,0
g,2,Load Aconst into B,01,00,000,A,0,4,0,4,0,4,A,4,0
g,3,A <- A OR B,11,10,100,0,0,4,A,E,0,E,A,E,1
g,4,Load 6 into B,01,00,000,6,0,E,A,E,1,E,6,E,1
g,5,A <- A AND B,11,10,011,0,0,E,6,6,1,6,6,6,0
g,6,A <- A<<1,11,10,110,0,0,6,6,C,0,C,6,8,1
g,7,A <- A<<1,11,10,110,0,0,C,6,8,1,8,6,0,0
g,8,Load 3 into B,01,00,000,3,0,8,6,8,0,8,3,8,0
g,9,A <- A OR B,11,10,100,0,0,8,3,B,0,B,3,B,0
g,10,A <- NOT A,11,10,010,0,0,B,3,4,0,4,3,B,0
g,11,A <- A>>1,11,10,111,0,0,4,3,2,0,2,3,1,0
